,?context,en,zh
idle_framework,,"IdleFramework","放置引擎"
alert.title.idle_framework_fatal,,"IdleFramework Fatal Error","放置引擎 致命错误"
alert.context.idle_framework_launch_failed,,"IdleFramework launch failed.","放置引擎启动失败。"
alert.context.game_resource_not_specified,,"GameResource not specified.","未指定游戏资源。"
alert.context.game_resource_gameid_invalid_for_file_system,,"GameID of GameResource is invalid for file-system.","游戏资源的GameID无法用于文件系统的文件名。"
alert.context.packed_ui_scene_not_specified,,"PackedUIScene not specified.","未指定UI场景封包。"
alert.context.ui_scene_instantiation_error,,"UIScene instantiation error.","UI场景实例化出错。"
log.info.mother_node.ready_start,,"MotherNode: _Ready() starting.","MotherNode: 正在执行_Ready()。"
log.info.mother_node.init_check_start,,"MotherNode: InitCheck() starting.","MotherNode: 正在执行InitCheck()。"
log.info.mother_node.runtime_builtin_translations_loaded,,"MotherNode: Runtime builtin translations were added.","MotherNode: 内置运行时翻译已加载到翻译域"。
log.info.mother_node.launch_completed,,"MotherNode: Launch completed.","MotherNode: 启动完毕。"
log.info.mother_node.added_ui_scene,,"MotherNode: Added UIScene to child.","MotherNode: 已添加UI场景为子场景。"
log.warning.mother_node.placing_ui_scene_but_exist_elder,,"MotherNode: Unexpected to found old UIScene on placing new instance, the old one was enqueued to free.","MotherNode: 超出预期地在放置新UI场景时发现旧实例，旧实例已被添加到节点释放队列。"
log.error.mother_node.unhandled_exception_on_save_access_async,,"MotherNode: Unhandled exception on SaveAccess async working: {0}","MotherNode: SaveAccess在异步工作时抛出未处理的异常: {0}"
log.error.mother_node.task_unsuccessfully_without_exception_on_save_access_async,,"MotherNode: Task unsuccessfully without exception on SaveAccess async working.","MotherNode: SaveAccess在异步工作时Task不带异常地未成功完成。"
log.error.mother_node.got_unknown_result_from_save_access_async,,"MotherNode: Got unknown result from SaveAccess async working.","MotherNode: 从SaveAccess异步工作接收到未知的返回结果。"
log.error.mother_node.save_access_returned_other_error_of_work_result,,"MotherNode: SaveAccess returned WorkResult.OtherError.","MotherNode: SaveAccess返回的工作结果为WorkResult.OtherError。"
log.error.mother_node.log.error.mother_node.save_access_parsing_save_failed,,"MotherNode: SaveAccess parsing save failed.","MotherNode: SaveAccess解析存档失败。"
log.error.mother_node.save_access_errors_on_file_io,,"MotherNode: SaveAccess errors on File IO.","MotherNode: SaveAccess在文件读写上发生错误。"
log.error.mother_node.save_access_failed_to_find_latest_save,,"MotherNode: SaveAccess failed to find latest save.","MotherNode: SaveAccess获取最后存档失败。"
log.error.save_access.failed_to_get_latest_save,,"SaveAccess: Failed to get latest save for GameID {0}.","SaveAccess: 未能获取游戏ID {0} 的最后存档。"
log.error.save_access.failed_to_read_save_file,,"SaveAccess: Failed to read save file.","SaveAccess: 读取存档文件失败。"
log.error.save_access.save_data_parser_returned_null,,"SaveAccess: SaveData parser returned null.","SaveAccess: 存档数据解析器返回了null。"
log.error.save_data.item_id_givened_in_space_registry_object_is_not_found_in_item_registry,,"SaveData: Item id ""{0}"" givened in SpaceContainer PrefillItems of SpaceRegistryObject with id ""{1}"" is not found in ItemRegistry.","SaveData: 对于ID为""{1}""的空间注册表项的空间容器预装物品给定的物品ID""{0}""，不能在物品注册表中找到对应项。"
log.error.number_provider_sum.unexcepted_call_blocked_by_recursion_lock,,"NumberProviderSum: An unexpected GetNumber() call has blocked by recursion lock, please check the GameResource to make sure NumberProviders aren't looping references.","NumberProviderSum: 一个非预期的GetNumber()调用已被递归锁阻拦，请检查游戏资源以确保数值提供器没有发生循环引用。"
log.error.number_provider_sum.catched_exception_on_calling_number_providers_in_sum_list,,"NumberProviderSum: Catched exception on calling NumberProviders in SumList: {0}","NumberProviderSum: 调用SumList中的数值提供器时捕获到异常: {0}"
log.error.rich_data_item_data.unexcepted_call_blocked_by_recursion_lock,,"RichDataItemData: An unexpected Duplicate() call has blocked by recursion lock.","RichDataItemData: 一个非预期的Duplicate()调用已被递归锁阻拦。"
log.error.rich_data_item_data.catched_exception_on_calling_rich_data_item_data_list_duplicate,,"RichDataItemData: Catched exception on calling List<RichDataItemData>.Duplicate(): {0}","RichDataItemData: 调用List<RichDataItemData>.Duplicate()时捕获到异常: {0}"
log.error.rich_data_item_data.cannot_convert_an_unsupported_type_data_into_a_json_token,,"RichDataItemData: Cannot convert an unsupported type data into a JToken.","RichDataItemData: 无法将不支持的类型的数据转换到JToken。"
log.error.rich_data_item_data.cannot_convert_an_unsupported_jtoken_type_into_a_rich_data_item_data,,"RichDataItemData: Cannot convert an unsupported JToken type into a RichDataItemData.","RichDataItemData: 无法将不支持的JToken类型转换到RichDataItemData。"
log.error.rich_data_item_data.unsupported_jtoken_type_of_child_token_of_jarray,,"RichDataItemData: Unsupported JToken type of child token of JArray: {0}","RichDataItemData: JArray的子令牌为不支持的JToken类型: {0}"
log.error.rich_data_helper.save_data_rdi_dictionary_givened_is_null,,"RichDataHelper: SaveData RDI Dictionary givened is null.","RichDataHelper: 给定的SaveData富数据物品字典为null。"
